index,description
23.02.02.04.,Anthropogen mäßig beeinträchtigtes Potamal mit organischem Sohlsubstrat
23.03.,Anthropogen stark beeinträchtigte Fließgewässer
23.03.01.,"Anthropogen stark beeinträchtigtes Fließgewässer, schnell fließend"
23.03.02.,"Anthropogen stark beeinträchtiges Fließgewässer, langsam fließend"
23.04.,Anthropogen sehr stark veränderte Fließgewässer
23.04.01.,"Anthropogen sehr stark verändertes Fließgewässer, schnell fließend"
23.04.02.,"Anthropogen sehr stark verändertes Fließgewässer, langsam fließend"
23.05.,Fließgewässer technischer Art (inkl Salzgräben)
23.05.01.,Graben mit ganzjährigem Fließgewässercharakter
23.05.01.01.,Graben mit ganzjährigem Fließgewässercharakter mit extensiver Gewässerunterhaltung
23.05.01.02.,Graben mit ganzjährigem Fließgewässercharakter ohne Gewässerunterhaltung
23.05.01.03.,Graben mit ganzjährigem Fließgewässercharakter mit intensiver Gewässerunterhaltung
23.05.02.,"Technische Rinne, Halbschale"
23.05.03.,Verrohrung
23.06.,Mündungen in Binnengewässer
23.06.01.,Fallmündung
23.06.02.,Schuttkegelmündung
23.06.03.,Schwemmkegelmündung
23.06.04.,Trichtermündung
23.06.05.,Deltamündung
23.07.,Sonderformen im Fließgewässerverlauf
23.07.01.,Wasserfall
23.07.02.,Altarm
23.07.03.,Seeabfluss
23.07.04.,Staustrecke
23.07.05.,Salzbach
23.08.,Zeitweilig trockenfallende Lebensräume unterhalb des Mittelwasserbereichs an fließenden Gewässern
23.08.01.,Zeitweilig trockenfallende Felsfläche an fließenden Gewässern
23.08.02.,Zeitweilig trockenfallende Geröllfläche an fließenden Gewässern
23.08.03.,Zeitweilig trockenfallende Kiesfläche an fließenden Gewässern
23.08.04.,Zeitweilig trockenfallende Sandfläche an fließenden Gewässern
23.08.04.01.,Periodisch trockenfallende Sandfläche an fließenden Gewässern (Süßwasserwatt)
23.08.04.02.,Episodisch trockenfallende Sandfläche an fließenden Gewässern
23.08.05.,Zeitweilig trockenfallende Schlammfläche an fließenden Gewässern
23.08.05.01.,Periodisch trockenfallende Schlammfläche an fließenden Gewässern (Süßwasserwatt)
23.08.05.02.,Episodisch trockenfallende Schlammfläche an fließenden Gewässern
23.09.,Natürliche und naturnahe temporäre Fließgewässer
23.09.01.,Natürliches und naturnahes temporäres Karst-Fließgewässer
23.09.02.,Sonstiges natürliches oder naturnahes temporäres Fließgewässer
24.,Standgewässer
24.01.,Dystrophe stehende Gewässer/Moorgewässer
24.01.01.,"Natürlicher oder naturnaher, dystropher See und Weiher (inkl naturnahe, dystrophe Teiche)"
24.01.02.,"Sich selbst überlassenes, dystrophes Abbaugewässer"
24.01.03.,Dystropher Tümpel
24.02.,Oligotrophe stehende Gewässer
24.02.01.,Oligotrophe Seen
24.02.01.01.,"Kalkarmer, oligotropher See"
24.02.01.02.,"Kalkreicher, oligotropher See"
24.02.02.,Oligotrophe Weiher
24.02.02.01.,"Kalkarmer, oligotropher Weiher"
24.02.02.02.,"Kalkreicher, oligotropher Weiher"
24.02.03.,"Oligotrophe, sich selbst überlassene Abbaugewässer"
24.02.03.01.,"Kalkarmes, oligotrophes, sich selbst überlassenes Abbaugewässer"
24.02.03.02.,"Kalkreiches, oligotrophes, sich selbst überlassenes Abbaugewässer"
24.02.04.,Oligotrophe Tümpel
24.02.04.01.,"Kalkarmer, oligotropher Tümpel"
24.02.04.02.,"Kalkreicher, oligotropher Tümpel"
24.02.04.02.01.,"Kalkreicher, oligotropher Karsttümpel"
24.02.04.02.02.,"Sonstiger kalkreicher, oligotropher Tümpel"
24.02.04.03.,"Gipsreicher, oligotropher Tümpel"
24.03.,Mesotrophe stehende Gewässer
24.03.01.,Mesotrophe Seen
24.03.01.01.,"Kalkarmer, mesotropher See"
24.03.01.02.,"Kalkreicher, mesotropher See"
24.03.02.,Mesotrophe Altwasser
24.03.02.01.,"Kalkarmes, mesotrophes Altwasser"
24.03.02.02.,"Kalkreiches, mesotrophes Altwasser"
24.03.03.,"Mesotrophe Weiher und Flachseen (inkl naturnahe, mesotrophe Teiche)"
24.03.03.01.,"Kalkarmer, mesotropher Weiher, Flachsee oder naturnaher Teich"
24.03.03.02.,"Kalkreicher, mesotropher Weiher, Flachsee oder naturnaher Teich"
24.03.04.,"Mesotrophe, sich selbst überlassene Abbaugewässer"
24.03.04.01.,"Kalkarmes, mesotrophes, sich selbst überlassenes Abbaugewässer"
24.03.04.02.,"Kalkreiches, mesotrophes, sich selbst überlassenes Abbaugewässer"
24.03.05.,Mesotrophe Tümpel
24.03.05.01.,"Kalkarmer, mesotropher Tümpel"
24.03.05.02.,"Kalkreiche, mesotrophe Tümpel"
24.03.05.02.01.,"Kalkreicher, mesotropher Karsttümpel"
24.03.05.02.02.,"Sonstiger kalkreicher, mesotropher Tümpel"
24.03.05.03.,"Gipsreicher, mesotropher Tümpel"
24.04.,Eutrophe stehende Gewässer
24.04.01.,Eutropher See
24.04.02.,Eutrophes Altwasser
24.04.03.,"Eutropher Weiher und Flachsee (inkl naturnahe, eutrophe Teiche)"
24.04.04.,"Eutrophes, sich selbst überlassenes Abbaugewässer (naturnah entwickelt)"
24.04.05.,Eutropher Tümpel
24.05.,Poly-hypertrophe stehende Gewässer
24.05.01.,"Poly-hypertropher/es See, Weiher und Altwasser"
24.05.02.,Poly-hypertropher Tümpel
24.06.,Salzhaltige Binnengewässer
24.06.01.,"Salzhaltiges, perennierendes, stehendes Gewässer (Binnenlandsalzstellen)"
24.06.02.,"Gipshaltiges, perennierendes, stehendes Gewässer"
24.06.03.,Salztümpel des Binnenlandes
24.07.,Stehende Gewässer anthropogenen Ursprungs
24.07.01.,"Naturferner, wassergefüllter Torfstich (aktuell im Abbau)"
24.07.02.,Fischzuchtgewässer (intensive Nutzung)
24.07.03.,Kanäle
24.07.03.01.,Nicht mehr genutzter Kanal
24.07.03.02.,Kanal in Betrieb
24.07.04.,Gräben mit sehr langsam fließendem bis stehendem Wasser
24.07.04.01.,Graben mit sehr langsam fließendem bis stehendem Wasser mit extensiver Gewässerunterhaltung
24.07.04.02.,Graben mit sehr langsam fließendem bis stehendem Wasser ohne Gewässerunterhaltung
24.07.04.03.,Graben mit sehr langsam fließendem bis stehendem Wasser mit intensiver Gewässerunterhaltung
24.07.05.,Zier- und Löschteich
24.07.06.,Klär- bzw Schönungsteich
24.07.07.,"Industrielles Absetzbecken, Spülfeld und Flüssigdeponie"
24.07.08.,Offene Wasserrückhaltebecken
24.07.08.01.,Offenes Wasserrückhaltebecken mit Dauerstau
24.07.08.02.,Offenes Wasserrückhaltebecken ohne Dauerstau
24.07.09.,Hafenbecken
24.07.10.,Speicherseen mit hohen Wasserstandsschwankungen
24.07.10.01.,Flussstausee
24.07.10.02.,Talsperre
24.07.11.,Wasseraufbereitungsanlage (offener Sickerteich)
24.07.12.,Abbaugewässer (in Betrieb) inkl sich selbst überlassenes Abbaugewässer mit extremem Chemismus
24.08.,Zeitweilig trockenfallende Lebensräume unterhalb des Mittelwasserbereichs an stehenden Gewässern
24.08.01.,Zeitweilig trockenfallende Felsfläche an stehenden Gewässern
24.08.02.,Zeitweilig trockenfallende Geröllfläche an stehenden Gewässern
24.08.03.,Zeitweilig trockenfallende Kiesfläche an stehenden Gewässern
24.08.04.,Zeitweilig trockenfallende Sandfläche an stehenden Gewässern
24.08.05.,Zeitweilig trockenfallende Schlammfläche an stehenden Gewässern
24.08.06.,Zeitweilig trockenfallende Torffläche an Moorgewässern
31.,Höhlen
31.01.,Natürliche Höhlen und Balmen
31.01.01.,Balmen (Halbhöhlen) und Eingangsbereiche von Höhlen
31.01.01.01.,"Balme (Halbhöhle) und Eingangsbereich von Höhlen, ohne anthropogene Nutzung"
31.01.01.02.,"Balme (Halbhöhle) und Eingangsbereich von Höhlen, mit anthropogener Nutzung"
31.01.02.,Natürliche Höhlen (Bereiche ohne Tageslichteinfluss)
31.01.02.01.,"Natürliche Höhle, ohne anthropogene Nutzung"
31.01.02.02.,"Natürliche Höhle, mit anthropogener Nutzung"
31.02.,Stollen und Schächte
31.02.01.,Sich selbst überlassener Stollen bzw Schacht
31.02.02.,In Betrieb befindlicher Stollen bzw Schacht (inkl Besucherbergwerke usw.)
32.,"Felsen-, Block- und Schutthalden, Geröllfelder, offene Bereiche mit sandigem oder bindigem Substrat"
32.01.,Natürliche und naturnah entwickelte Felsen
32.01.01.,Natürlicher und naturnah entwickelter Karbonatfels
32.01.02.,Natürliche und naturnah entwickelte Silikatfelsen (ohne Serpentinit)
32.01.02.01.,"Natürlicher und naturnah entwickelter basenarmer Silikatfels (Granit, Quarzit usw.)"
32.01.02.02.,"Natürlicher und naturnah entwickelter basenreicher Silikatfels (Basalt, Kalksandstein usw.)"
32.01.03.,Natürlicher und naturnah entwickelter Serpentinitfels
32.01.04.,Natürlicher und naturnah entwickelter Gipsfels
32.02.,"Solitärer Felsblock, Findling"
32.03.,Natürliche und naturnah entwickelte Blockhalden
32.03.01.,Natürliche und naturnah entwickelte Blockhalde aus Karbonatgestein
32.03.02.,Natürliche und naturnah entwickelte Blockhalden aus Silikatgestein (ohne Serpentinit)
32.03.02.01.,"Natürliche und naturnah entwickelte Blockhalde aus basenarmem Silikatgestein (Granit, Quarzit usw.)"
32.03.02.02.,"Natürliche und naturnah entwickelte Blockhalde aus basenreichem Silikatgestein (Basalt, Kalksandstein usw.)"
32.03.03.,Natürliche und naturnah entwickelte Blockhalde aus Serpentinitgestein
32.04.,Natürliche und naturnah entwickelte Schutthalden
32.04.01.,Natürliche und naturnah entwickelte Schutthalde aus Karbonatgestein (inkl Mergel)
32.04.02.,Natürliche und naturnah entwickelte Schutthalden aus Silikatgestein (ohne Serpentinit)
32.04.02.01.,"Natürliche und naturnah entwickelte Schutthalde aus basenarmem Silikatgestein (Granit, Quarzit usw.)"
32.04.02.02.,"Natürliche und naturnah entwickelte Schutthalde aus basenreichem Silikatgestein (Basalt, Kalksandstein usw.)"
32.04.03.,Natürliche und naturnah entwickelte Schutthalde aus Serpentinitgestein
32.04.04.,Natürliche und naturnah entwickelte Schutthalde aus Gipsgestein
32.05.,"Steinriegel, Steinhaufen, Trockenmauern und Natursteinmauern"
32.05.01.,Steinriegel und Steinhaufem
32.05.01.01.,Steinriegel/-haufen aus Karbonatgestein
32.05.01.02.,Steinriegel/-haufen aus Silikatgestein
32.05.02.,Trockenmauern
32.05.02.01.,Trockenmauer aus Karbonatgestein
32.05.02.02.,Trockenmauer aus Silikatgestein
32.05.03.,Verfugte Natursteinmauern (auch von Ruinen)
32.05.03.01.,Verfugte Natursteinmauer aus Karbonatgestein
32.05.03.02.,Verfugte Natursteinmauer aus Silikatgestein
32.06.,Sandwand
32.07.,Lehm- und Lösswände
32.07.01.,Lösswand
32.07.02.,Geschiebemergel- und sonstige Lehmwand
32.08.,Vegetationsarme Kies- und Schotterfläche
32.09.,Vegetationsarme Sandfläche
32.10.,Vegetationsarme Fläche mit bindigem Substrat
32.11.,Abbaubereiche und Abraumhalden
32.11.01.,"Junge, sich selbst überlassene oder in Aufschüttung befindliche Schutthalden"
32.11.01.01.,"Junge, sich selbst überlassene oder in Aufschüttung befindliche Schutthalde aus Karbonatgestein"
32.11.01.02.,"Junge, sich selbst überlassene oder in Aufschüttung befindliche Schutthalde aus Silikatgestein"
32.11.02.,"Junge, sich selbst überlassene oder in Aufschüttung befindliche Halde mit sandig-kiesigem Substrat"
32.11.03.,"Junge, sich selbst überlassene oder in Aufschüttung befindliche Halde mit bindigem Substrat"
32.11.04.,"Felswände im Abbau (Steinbrüche) und junge, aufgelassene Steinbrüche"
32.11.04.01.,Felswand im Abbau aus Karbonatgestein
32.11.04.02.,Felswände im Abbau aus Silikatgestein
32.11.04.02.01.,"Felswand im Abbau aus basenarmem Silikatgestein (Granit, Quarzit usw.)"
32.11.04.02.02.,"Felswand im Abbau aus basenreichem Silikatgestein (Basalt, Kalksandstein usw.)"
32.11.05.,Grobschutthalde im Abbau
32.11.06.,Sand- oder Kiesentnahmestelle im Abbau
32.11.07.,Entnahmestelle bindigen Substrates im Abbau
33.,Äcker und Ackerbrachen
33.01.,"Flachgründige, skelettreiche Kalkäcker und Kalkackerbrache"
33.01.01.,Extensiv bewirtschafteter flachgründiger und skelettreicher Kalkacker mit weitgehend vollständiger Segetalvegetation
33.01.02.,Flachgründiger und skelettreicher Kalkacker mit artenreicher Segetalvegetation
33.01.03.,"Intensiv bewirtschafteter, flachgründiger und skelettreicher Kalkacker mit stark verarmter oder fehlender Segetalvegetation"
33.01.04.,"Flachgründige, skelettreiche Kalkackerbrache"
33.02.,"Äcker und Ackerbrache auf flachgründigem, skelettreichem Silikatverwitterungsboden"
33.02.01.,"Extensiv bewirtschafteter Acker auf flachgründigem, skelettreichem Silikatverwitterungsboden mit vollständiger Segetalvegetation"
33.02.02.,"Acker auf flachgründigem, skelettreichem Silikatverwitterungsboden mit artenreicher Segetalvegetaion"
33.02.03.,"Intensiv bewirtschafteter Acker auf flachgründigem, skelettreichem Silikatverwitterungsboden mit stark verarmter oder fehlender Segetalvegetation"
33.02.04.,"Ackerbrache auf flachgründigem, skelettreichem Silikatverwitterungsboden"
33.03.,Äcker und Ackerbrache auf Sandboden
33.03.01.,Extensiv bewirtschafteter Acker auf Sandboden mit vollständiger Segetalvegetation
33.03.02.,Acker auf Sandboden mit artenreicher Segetalvegetation
33.03.03.,Intensiv bewirtschafteter Acker auf Sandboden mit stark verarmter oder fehlender Segetalvegetation
33.03.04.,Ackerbrache auf Sandboden
33.04.,"Äcker und Ackerbrache auf Löss-, Lehm- oder Tonboden"
33.04.01.,"Extensiv bewirtschafteter Acker auf Löss-, Lehm- oder Tonboden mit vollständiger Segetalvegetation"
33.04.02.,"Acker auf Löss-, Lehm- oder Tonboden mit artenreicher Segetalvegetation"
33.04.03.,"Intensiv bewirtschafteter Acker auf Löss-, Lehm- oder Tonboden mit stark verarmter oder fehlender Segetalvegetation"
33.04.04.,"Ackerbrache auf Löss-, Lehm- oder Tonboden"
33.05.,Äcker und Ackerbrache auf Torf- oder Anmoorboden
33.05.01.,Extensiv bewirtschafteter Acker auf Torf- oder Anmoorboden mit vollständiger Segetalvegetation
33.05.02.,Acker auf Torf- oder Anmoorboden mit artenreicher Segetalvegetation
33.05.03.,Intensiv bewirtschafteter Acker auf Torf- oder Anmoorboden mit stark verarmter oder fehlender Segetalvegetation
33.05.04.,Ackerbrache auf Torf- oder Anmoorboden
34.,"Trockenrasen, sowie Grünland trockener bis frischer Standorte"
34.01.,Trockenrasen
34.01.01.,Trockenrasen auf karbonatischem Untergrund
34.01.01.01.,Submediterraner Trockenrasen auf karbonatischem oder sonstigem basenreichen Untergrund
34.01.01.02.,Subkontinentaler Trockenrasen auf karbonatischem oder sonstigem basenreichen Untergrund
34.01.02.,Trockenrasen auf silikatischem Untergrund
34.01.02.01.,Submediterraner Trockenrasen auf silikatischem Untergrund
34.01.02.02.,Subkontinentaler Trockenrasen auf silikatischem Untergrund
34.02.,Halbtrockenrasen
34.02.01.,Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Untergrund
34.02.01.01.,Submediterrane Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden
34.02.01.01.01.,"Submediterraner Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, gemäht"
34.02.01.01.02.,"Submediterraner Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, beweidet (inkl Mähweide)"
34.02.01.01.03.,"Submediterraner Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, brachgefallen bzw ungenutzt"
34.02.01.02.,"Subkontinentale Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden34.02.01.02.01 Subkontinentaler Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, gemäht34.02.01.02.02 Subkontinentaler Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, beweidet (inkl Mähweide)"
34.02.01.02.03.,"Subkontinentaler Halbtrockenrasen auf karbonatischem oder sonstigem basenreichen Boden, brachgefallen bzw ungenutzt"
34.02.02.,Halbtrockenrasen auf silikatischem Untergrund
34.02.02.01.,Submediterrane Halbtrockenrasen auf silikatischem Boden
34.02.02.01.01.,"Submediterraner Halbtrockenrasen auf silikatischem Boden, gemäht"
34.02.02.01.02.,"Submediterraner Halbtrockenrasen auf silikatischem Boden, beweidet (inkl Mähweide)"
34.02.02.01.03.,"Submediterraner Halbtrockenrasen auf silikatischem Boden, brachgefallen bzw ungenutzt"
34.02.02.02.,Subkontinentale Halbtrockenrasen auf silikatischem Boden
34.02.02.02.01.,"Subkontinentaler Halbtrockenrasen auf silikatischem Boden, gemäht"
34.02.02.02.02.,"Subkontinentaler Halbtrockenrasen auf silikatischem Boden, beweidet (inkl Mähweide)"
34.02.02.02.03.,"Subkontinentaler Halbtrockenrasen auf silikatischem Boden, brachgefallen bzw ungenutzt"
34.03.,"Steppenrasen (subkontinental, auf tiefgründigem Boden)"
34.03.01.,"Steppenrasen, gemäht"
34.03.02.,"Steppenrasen, beweidet (inkl Mähweide)"
34.03.03.,"Steppenrasen, brachgefallen bzw ungenutzt"
34.04.,Sandtrockenrasen
34.04.01.,Annueller Sandtrockenrasen
34.04.02.,Silbergrasrasen
34.04.03.,Ausdauernde Sandtrockenrasen mit weitgehend geschlossener Narbe
34.04.03.01.,"Ausdauernder Sandtrockenrasen mit weitgehend geschlossener Narbe, beweidet (inkl Mähweide)"
34.04.03.02.,"Ausdauernder Sandtrockenrasen mit weitgehend geschlossener Narbe, gemäht"
34.04.03.03.,"Ausdauernder Sandtrockenrasen mit weitgehend geschlossener Narbe, ungenutzt"
34.05.,Schwermetallrasen
34.05.01.,Natürlicher und halbnatürlicher Schwermetallrasen (natürliche und sekundär naturnah entwickelte Standorte)
34.05.02.,Schwermetallrasen junger Abraumhalden des Bergbaus
34.06.,Borstgrasrasen
34.06.01.,Borstgrasrasen trockener bis frischer Standorte
34.06.01.01.,Borstgrasrasen trockener bis frischer Standorte in tieferen Lagen
34.06.01.01.01.,Gemähter Borstgrasrasen trockener bis frischer Standorte in tieferen Lagen
34.06.01.01.02.,Beweideter Borstgrasrasen trockener bis frischer Standorte in tieferen Lagen (inkl Mähweide)
34.06.01.01.03.,Brachgefallener Borstgrasrasen trockener bis frischer Standorte in tieferen Lagen
34.06.01.02.,Borstgrasrasen trockener bis frischer Standorte in höheren Lagen
34.06.01.02.01.,Gemähter Borstgrasrasen trockener bis frischer Standorte in höheren Lagen
34.06.01.02.02.,Beweideter Borstgrasrasen trockener bis frischer Standorte in höheren Lagen (inkl Mähweide)
34.06.01.02.03.,Brachgefallener Borstgrasrasen trockener bis frischer Standorte in höheren Lagen
34.06.02.,Borstgrasrasen feuchter Standorte
34.06.02.01.,Borstgrasrasen feuchter Standorte in tieferen Lagen
34.06.02.01.01.,Gemähter Borstgrasrasen feuchter Standorte in tieferen Lagen
34.06.02.01.02.,Beweideter Borstgrasrasen feuchter Standorte in tieferen Lagen (inkl Mähweide)
34.06.02.01.03.,Brachgefallener Borstgrasrasen feuchter Standorte in tieferen Lagen
34.06.02.02.,Borstgrasrasen feuchter Standorte in höheren Lagen
34.06.02.02.01.,Gemähter Borstgrasrasen feuchter Standorte in höheren Lagen
34.06.02.02.02.,Beweideter Borstgrasrasen feuchter Standorte in höheren Lagen (inkl Mähweide)
34.06.02.02.03.,Brachgefallener Borstgrasrasen feuchter Standorte in höheren Lagen
34.07.,Artenreiches Grünland frischer Standorte
34.07.01.,"Artenreiches, frisches Grünland in tieferen Lagen"
34.07.01.01.,"Artenreiche, frische Mähwiese in tieferen Lagen"
34.07.01.02.,"Artenreiche, frische (Mäh-)Weide in tieferen Lagen"
34.07.01.03.,"Artenreiche, frische Grünlandbrache in tieferen Lagen"
34.07.02.,"Artenreiches, frisches Grünland in höheren Lagen"
34.07.02.01.,"Artenreiche, frische Mähwiese in höheren Lagen"
34.07.02.02.,"Artenreiche, frische (Mäh-)Weide in höheren Lagen"
34.07.02.03.,"Artenreiche, frische Grünlandbrache in höheren Lagen"
34.08.,Artenarmes Grünland frischer Standorte
34.08.01.,"Intensiv genutztes, frisches Dauergrünland"
34.08.02.,Frisches Ansaatgrünland
34.08.03.,"Artenarme, frische Grünlandbrache"
34.08.04.,Sonstiges artenarmes Grünland frischer Standorte
34.09.,Tritt- und Parkrasen
34.09.01.,Artenreicher Parkrasen
34.09.02.,Artenarmer Parkrasen
34.09.03.,"Sportrasen, Golfrasen"
34.09.04.,Trittrasen
35.,"Waldfreie Niedermoore und Sümpfe, Grünland feuchter bis nasser Standorte"
35.01.,"Waldfreie, oligo- bis mesotrophe Niedermoore und Sümpfe"
35.01.01.,"Oligo- bis mesotrophe, kalkarme Niedermoore und Sümpfe"
35.01.01.01.,"Oligo- bis mesotrophes, kalkarmes Niedermoor und Sümpfe in tieferen Lagen"
35.01.01.02.,"Oligo- bis mesotrophes, kalkarmes Niedermoor und Sümpfe in höheren Lagen"
35.01.02.,"Oligo- bis mesotrophe, kalkreiche Niedermoore und Sümpfe"
35.01.02.01.,"Oligo- bis mesotrophes, kalkreiches Niedermoor und Sümpfe in tieferen Lagen"
35.01.02.02.,"Oligo- bis mesotrophes, kalkreiches Niedermoor und Sümpfe in höheren Lagen"
35.02.,Grünland nasser bis (wechsel-)feuchter Standorte
35.02.01.,Pfeifengraswiesen (auf mineralischen und organischen Böden)
35.02.01.01.,Pfeifengraswiese auf kalkarmem Standort
35.02.01.02.,Pfeifengraswiese auf kalkreichem Standort
35.02.01.03.,Brachgefallene Pfeifengraswiese
35.02.02.,Brenndolden-Auenwiesen
35.02.02.01.,"Brenndolden-Auenwiese, gemäht"
35.02.02.02.,"Brenndolden-Auenwiese, mit Mähweidenutzung"
35.02.02.03.,Brachgefallene Brenndolden-Auenwiese
35.02.03.,Sonstiges extensives Feucht- und Nassgrünland in tieferen Lagen
35.02.03.01.,Sonstige extensive Feucht- bzw Nasswiese in tieferen Lagen
35.02.03.02.,Sonstige extensive Feucht- bzw Nass(mäh)weide in tieferen Lagen
35.02.03.03.,Sonstige Feucht- bzw Nassgrünlandbrache in tieferen Lagen
35.02.04.,Sonstiges extensives Feucht- und Nassgrünland in höheren Lagen
35.02.04.01.,Sonstige extensive Feucht- bzw Nasswiese in höheren Lagen
35.02.04.02.,Sonstige extensive Feucht- bzw Nass(mäh)weide in höheren Lagen
35.02.04.03.,Feucht- bzw Nassgrünlandbrache in höheren Lagen
35.02.05.,Flutrasen
35.02.05.01.,Naturnaher extensiv oder nicht bewirtschafteter Flutrasen
35.02.05.02.,Intensiv genutzter Flutrasen
35.02.06.,"Artenarmes, intensiv genutztes Feuchtgrünland"
35.02.06.01.,"Feuchtes, intensiv genutztes Dauergrünland"
35.02.06.02.,Feuchtes Ansaatgrünland
35.02.06.03.,"Brachgefallenes, artenarmes Feuchtgrünland"
35.03.,Salzgrünland des Binnenlandes
35.03.01.,Naturnahes Salzgrünland des Binnenlandes
35.03.02.,"Naturfernes, sekundäres Salzgrünland des Binnenlandes"
36.,"Hoch-, Zwischen- und Übergangsmoore"
36.01.,Hochmoore (weitgehend intakt)
36.01.01.,Hochmoor der planaren bis submontanen Stufe
36.01.02.,Hochmoor der montanen bis hochmontanen Stufe
36.02.,Übergangsmoore und Zwischenmoore
36.02.01.,Übergangsmoor oder Zwischenmoor der planaren bis submontanen Stufe
36.02.02.,Übergangsmoor oder Zwischenmoor der montanen bis hochmontanen Stufe
36.03.,Moordegenerationsstadien
36.03.01.,Moordegenerationsstadien mit Dominanz von Gräsern
36.03.01.01.,Moordegenerationsstadium mit Dominanz von Wollgräsern
36.03.01.02.,Moordegenerationsstadium mit Dominanz von Pfeifengras
36.03.02.,Moordegenerationsstadium mit Dominanz von Zwergsträuchern
36.03.03.,Moordegenerationsstadium mit starkem Gehölzaufwuchs
36.03.04.,Moordegenerationsstadium mit Dominanz von Hochstauden und Binsen
36.04.,Torfabbaubereiche
36.04.01.,Handtorfstich im Abbau
36.04.02.,Abtorfungsflächen im Fräsverfahren
36.04.02.01.,In Abbau befindliche Abtorfungsfläche (Fräsverfahren)
36.04.02.02.,Sich selbst überlassene Abtorfungsfläche ohne erkennbare Regeneration (Fräsverfahren)
36.04.03.,Bunkerde-Halde
36.04.04.,Torfhalden
36.05.,Moor-Regenerationsflächen
37.,Großseggenriede
37.01.,Nährstoffarme Großseggenriede
37.01.01.,Bultiges nährstoffarmes Großseggenried
37.01.02.,Rasiges nährstoffarmes Großseggenried
37.02.,Nährstoffreiche Großseggenriede
37.02.01.,Bultiges nährstoffreiches Großseggenried
37.02.02.,Rasiges nährstoffreiches Großseggenried
38.,Röhrichte (ohne Brackwasserröhrichte)
38.01.,Teichsimsenröhricht
38.02.,Schilfröhrichte
38.02.01.,Schilf-Wasserröhricht
38.02.02.,Schilf-Landröhricht
38.03.,Rohrkolbenröhricht
38.04.,Schneidenröhricht
38.05.,Wasserschwadenröhricht
38.06.,Rohrglanzgrasröhricht
38.07.,Sonstiges Röhricht
39.,"Wald- und Ufersäume, Staudenfluren"
39.01.,Wald- und Gehölzsäume (ohne Ufersäume)
39.01.01.,Wald- und Gehölzsäume oligo- bis eutropher Standorte
39.01.01.01.,"Wald- und Gehölzsäume oligo- bis eutropher, trocken-warmer Standorte"
39.01.01.01.01.,"Wald- und Gehölzsaum kalkarmer, oligo- bis eutropher, trocken-warmer Standorte"
39.01.01.01.02.,"Wald- und Gehölzsaum kalkreicher, oligo- bis eutropher, trocken-warmer Standorte"
39.01.01.02.,"Wald- und Gehölzsäume oligo- bis eutropher, frischer bis nasser Standorte"
39.01.01.02.01.,"Wald- und Gehölzsaum kalkarmer, oligo- bis eutropher, frischer bis nasser Standorte"
39.01.01.02.02.,"Wald- und Gehölzsaum kalkreicher, oligo- bis eutropher, frischer bis nasser Standorte"
39.01.02.,Wald- und Gehölzsäume hypertropher Standorte
39.01.02.01.,"Wald- und Gehölzsaum hypertropher, trocken-warmer Standorte"
39.01.02.02.,"Wald- und Gehölzsaum hypertropher, frischer bis nasser Standorte"
39.02.,"Kahlschläge und Fluren der Lichtungen (mit überwiegend krautiger Vegetation, planar bis montan)"
39.02.01.,Kahlschlag und Flur der Lichtungen auf kalkarmem Standort
39.02.02.,Kahlschlag und Flur der Lichtungen auf kalkreichem Standort
39.03.,Krautige und grasige Säume und Fluren der offenen Landschaft (ohne Ufersäume und Grünlandbrachen)
39.03.01.,Krautige und grasige Säume und Fluren der offenen Landschaft oligo- bis eutropher Standorte
39.03.01.01.,"Krautige und grasige Säume und Fluren oligo- bis eutropher, trocken-warmer Standorte"
39.03.01.01.01.,"Krautiger oder grasiger Saum oder Flur kalkarmer, oligo- bis eutropher, trocken-warmer Standorte"
39.03.01.01.02.,"Krautiger oder grasiger Saum oder Flur kalkreicher, oligo- bis eutropher, trocken-warmer Standorte"
39.03.01.02.,"Krautige und grasige Säume und Fluren oligo- bis eutropher, frischer bis nasser Standorte"
39.03.01.02.01.,"Krautiger oder grasiger Saum oder Flur kalkarmer, oligo- bis eutropher, frischer bis nasser Standorte"
39.03.01.02.02.,"Krautiger oder grasiger Saum oder Flur kalkreicher, oligo- bis eutropher, frischer bis nasser Standorte"
39.03.02.,Krautige und grasige Säume und Fluren der offenen Landschaft hypertropher Standorte
39.03.02.01.,"Krautiger oder grasiger Saum oder Flur hypertropher, trocken-warmer Standorte"
39.03.02.02.,"Krautiger oder grasiger Saum oder Flur hypertropher, feuchter bis frischer Standorte"
39.04.,Krautige Ufersäume oder -fluren an Gewässern
39.05.,Neophyten-Staudenfluren
39.05.01.,Neophyten-Staudenflur trocken-warmer Standorte
39.05.02.,"Neophyten-Staudenflur frischer, feuchter und nasser Standorte"
39.06.,Ruderalstandorte
